Name, Wins, Losses, Weightclass
Rory MacDonald,20,5,Welterweight
Jon Fitch,31,7,Welterweight
Gegard Mousasi,45,6,Middleweight
Douglas Lima,30,7,Welterweight
Paul Daley,40,17,Welterweight
Stephen Thompson,14,4,Welterweight
Robbie Lawler,28,13,Welterweight
Tarec Saffiedine,16,7,Welterweight
Tyron Woodley,19,4,Welterweight
Demian Maia,26,9,Welterweight
Jake Ellenberger,31,15,Welterweight
B.J. Penn,16,13,Featherweight
Che Mills,16,10,Welterweight
Mike Pyle,27,14,Welterweight
Nate Diaz,19,11,Lightweight
Carlos Condit,30,13,Welterweight
Michael Guymon,15,6,Lightweight
Nick Hinchliffe,19,9,Welterweight
Elmer Waterhen,16,18,Welterweight
Clay French,19,7,Lightweight
Kajan Johnson,23,13,Lightweight
Yoon Heo,7,9,Featherweight
Quinton Moreno,0,2,N/A
Jordan Mein,31,12,Welterweight
Ken Tran,2,5,Lightweight
Terry Thiara,2,3,Lightweight
Paul Daley,40,17,Welterweight
Brian Foster,28,11,Lightweight
Jake Shields,33,11,Welterweight
Joao Zeferino,23,9,Lightweight
Yushin Okami,35,12,Middleweight
Rousimar Palhares,19,10,Welterweight
Dennis Hallman,53,20,Middleweight
Marcelo Alfaya,18,10,Welterweight
Joshua Burkman,28,17,Lightweight
Demian Maia,26,9,Welterweight
Erick Silva,20,10,Welterweight
Johny Hendricks,18,8,Middleweight
B.J. Penn,16,13,Featherweight
Thiago Alves,23,13,Welterweight
Ben Saunders,22,11,Welterweight
Mike Pierce,17,7,Welterweight
Paulo Thiago,18,10,Welterweight
Akihiro Gono,36,23,Welterweight
Georges St. Pierre,26,2,Welterweight
Chris Wilson,18,10,Lightweight
Diego Sanchez,29,11,Welterweight
Roan Carneiro,21,13,Welterweight
Luigi Fioravanti,26,15,Middleweight
Kuniyoshi Hironaka,23,9,Lightweight
Brock Larson,42,10,Welterweight
Jeff Joslin,5,3,Welterweight
Alex Serdyukov,8,5,Welterweight
Jorge Ortiz,18,9,Welterweight
Mike Seal,13,16,Middleweight
Kengo Ura,14,13,Lightweight
Shonie Carter,51,32,Middleweight
Gabe Garcia,1,3,N/A
Kyle Jensen,40,11,Middleweight
Solomon Hutcherson,11,7,Middleweight
Wilson Gouveia,14,8,Heavyweight
Eric Tix,7,3,N/A
Dan Hart,9,9,Middleweight
Mike Pyle,27,14,Welterweight
Ben Uker,4,4,Welterweight
Mark Smolinski,1,2,Light Heavyweight
Ilima-Lei Macfarlane,9,0,Flyweight
Veta Arteaga,5,2,Flyweight
Valerie Letourneau,10,7,Strawweight
Alejandra Lara,7,3,Flyweight
Emily Ducote,7,5,Strawweight
Jessica Middleton,4,4,Flyweight
Rebecca Ruth,6,3,Flyweight
Amber Tackett,1,3,Flyweight
Maria Rios,2,3,Strawweight
Katie Castro,0,3,Bantamweight
Angela Danzig,2,4,Strawweight
Linda Darby,0,0,Bantamweight
Breana Lynn Bland,0,0,Strawweight
Monique Martinez,0,0,Bantamweight
Stephanie Houser,0,0,Bantamweight
Denise Kielholtz,2,2,Bantamweight
Emily Ducote,7,5,Strawweight
Bruna Ellen,4,2,Flyweight
Brooke Mayo,0,2,Flyweight
Anastasia Yankova,5,1,Flyweight
Jackie Vandenburgh,0,2,Flyweight
Ashley Deen,3,3,Bantamweight
Kaytlin Neil,1,3,Flyweight
Benson Henderson,26,8,Lightweight
Adam Piccolotti,11,2,Lightweight
Saad Awad,23,11,Lightweight
Roger Huerta,24,11,Lightweight
Patricky Freire,21,8,Lightweight
Michael Chandler,19,4,Lightweight
Patricio Freire,28,4,Featherweight
Andrey Koreshkov,22,3,Welterweight
Jorge Masvidal,33,13,Welterweight
Brandon Thatch,11,5,Welterweight
Donald Cerrone,35,11,Welterweight
Rafael dos Anjos,28,11,Welterweight
Rustam Khabilov,23,4,Lightweight
Josh Thomson,22,9,Lightweight
Anthony Pettis,22,8,Lightweight
Gilbert Melendez,22,7,Lightweight
Nate Diaz,19,11,Lightweight
Frankie Edgar,23,6,Featherweight
Clay Guida,34,18,Lightweight
Jim Miller,29,13,Lightweight
Mark Bocek,12,5,Lightweight
Jamie Varner,21,11,Lightweight
Shane Roller,11,7,Lightweight
Anthony Njokuani,16,12,Lightweight
Diego Saraiva,22,20,Lightweight
Ricardo Tirloni,21,7,Lightweight
Mike Maestas,9,2,Lightweight
Bryan Corley,2,2,Lightweight
David  Dagloria,3,4,N/A
Rocky Johnson,21,17,Middleweight
Allen Williams,0,5,N/A
Dan Gregary,4,3,N/A
Chad Klingensmith,5,2,Welterweight
James Terry,20,10,Welterweight
Carrington Banks,7,2,Lightweight
David Rickels,21,5,Welterweight
Goiti Yamauchi,23,4,Lightweight
Brandon Girtz,16,8,Lightweight
Ray Wood,7,5,Featherweight
Mario Soto,8,2,Welterweight
Salvador Becerra,6,2,Lightweight
Andrew Ramm,4,4,Welterweight
Tristan Arenal,7,4,Lightweight
Eugene Marenya,0,2,Welterweight
Cody Orrison,2,3,Lightweight
Jeff Peterson,10,7,Lightweight
Phil Davis,19,5,Light Heavyweight
Liam McGeary,13,3,Light Heavyweight
Vadim Nemkov,10,2,Light Heavyweight
Linton Vassell,18,8,Light Heavyweight
Leo Leite,10,2,Light Heavyweight
Ryan Bader,27,5,Heavyweight
Liam McGeary,13,3,Light Heavyweight
Muhammed Lawal,21,8,Light Heavyweight
Francis Carmont,25,12,Light Heavyweight
Emanuel Newton,26,13,Light Heavyweight
Glover Teixeira,28,7,Light Heavyweight
Anthony Johnson,22,6,Light Heavyweight
Lyoto Machida,25,8,Middleweight
Vinny Magalhaes,18,10,Light Heavyweight
Wagner Prado,15,3,Light Heavyweight
Rashad Evans,19,8,Light Heavyweight
Antonio Rogerio Nogueira,23,8,Light Heavyweight
Tim Boetsch,21,13,Middleweight
Rodney Wallace,26,16,Light Heavyweight
Alexander Gustafsson,18,5,Light Heavyweight
Brian Stann,12,6,Middleweight
David Baggett,8,7,Light Heavyweight
Terry Cohens,4,6,Light Heavyweight
Josh Green,1,4,Light Heavyweight
Brett Chism,16,12,Middleweight
Steve Zornes,0,0,Middleweight
Muhammed Lawal,21,8,Light Heavyweight
Vadim Nemkov,10,2,Light Heavyweight
Linton Vassell,18,8,Light Heavyweight
Brett McDermott,8,5,Light Heavyweight
Phil Davis,19,5,Light Heavyweight
Tito Ortiz,20,12,Light Heavyweight
Emanuel Newton,26,13,Light Heavyweight
Kelly Anundson,9,3,Light Heavyweight
Egidijus Valavicius,29,12,Light Heavyweight
Mike Mucitelli,7,3,Heavyweight
Mojtaba Najim Wali,5,4,Light Heavyweight
Beau Tribolet,7,3,Light Heavyweight
Anton Talamantes,5,4,Light Heavyweight
Walter Howard,4,5,Light Heavyweight
Shaun Lomas,23,74,Middleweight
Grzegorz Janus,5,2,Light Heavyweight
Mike Thompson,0,0,N/A
Lloyd Davies,0,0,N/A
Jordan Williams,8,2,Middleweight
Diego Herzog,4,2,Middleweight
Tim Caron,7,3,Middleweight
Brandon Hester,4,1,Middleweight
Alexander Lopez,3,2,Middleweight
Dwight Grant,9,2,Welterweight
Preston Scharf,13,17,Lightweight
Richard Rigmaden,3,12,Heavyweight
Christian Barber,0,2,Welterweight
Rodrigo Vargas,10,2,Lightweight
J.C. Llamas,8,7,Middleweight
Sean Choice,2,5,Welterweight
Colton Huskey,0,0,N/A
Mark Gettler,0,0,Welterweight
Martin Sano,4,2,Welterweight
Nick Pica,5,1,Middleweight
Shannon Ritch,57,84,Light Heavyweight
Kaue Dudus,8,7,Middleweight
Josue Makowiecky da Silva,5,3,Middleweight
Rafael Monteiro,9,6,Middleweight
Rafael Cestari,1,0,N/A
Thomas Oswald,2,0,Welterweight
Jamario Mulder,2,3,Middleweight
Dominic Sumner,1,3,Welterweight
Lee Roy Castro,2,4,Welterweight
Danasabe Mohammed,6,2,Welterweight
Abraham Vaesau,4,2,Middleweight
Michael Bravo,8,4,Lightweight
Chris Marinelli,0,1,Lightweight
J.J. Okanovich,6,1,Lightweight
Ricky  Gonzales,0,1,N/A
Aaron Gagnon,0,0,Welterweight
Reggie Young-Henderson,1,0,Lightweight
Joseph Souza,0,0,Welterweight
Justin Tenedora,2,1,Bantamweight
Matt Perez,2,2,Bantamweight
David Rivera,0,3,Bantamweight
Ricardo Vasquez,1,0,Featherweight
Roque Reyes,0,4,Bantamweight
Cass Bell,2,0,Bantamweight
Jose Avalos,2,2,Bantamweight
Eugene Cancino,0,2,Flyweight
Rafael Angel Hernandez,1,2,Flyweight
Samuel Montiel,0,1,Bantamweight
Alex Valencia,0,0,Bantamweight
Carlos Hernandez,1,2,Flyweight
Ruben Rojas,0,0,N/A
Abraham Vaesau,4,2,Middleweight
Justin Roswell,3,2,Welterweight
Travis Gervais,4,3,Welterweight
Jamario Mulder,2,3,Middleweight
Neale Johnson,0,3,Middleweight
Art Hernandez,4,1,Lightweight
Daniel McWilliams,18,41,Welterweight
Dominic Sumner,1,3,Welterweight
Lee Roy Castro,2,4,Welterweight
Nate Rucker,0,0,Welterweight
Nico Larez,0,1,N/A
Batsumberel Dagvadorj,4,0,Welterweight
Clay Baines,2,31,Lightweight
John Nelson,0,13,Middleweight
Joey Davis,5,0,Welterweight
Dominic Sumner,1,3,Welterweight
Joe Vidales,3,2,Middleweight
Aviv  Gozali,1,0,Lightweight
Travis  Crain,0,0,Bantamweight
Anton  Lazebnov,0,1,Lightweight
