Name, Wins, Losses, Weightclass
Max Holloway,20,3,Featherweight
Dustin Poirier,24,5,Lightweight
Brian Ortega,14,1,Featherweight
Jose Aldo,28,4,Featherweight
Anthony Pettis,22,8,Lightweight
Ricardo Lamas,19,7,Featherweight
Jeremy Stephens,28,16,Featherweight
Charles Oliveira,26,8,Lightweight
Cub Swanson,25,10,Featherweight
Cole Miller,21,11,Featherweight
Akira Corassani,12,6,Featherweight
Clay Collard,16,8,Lightweight
Andre Fili,19,6,Featherweight
Will Chope,36,14,Lightweight
Conor McGregor,21,4,Lightweight
Dennis Bermudez,17,9,Featherweight
Leonard Garcia,18,13,Featherweight
Justin Lawrence,11,5,Featherweight
Pat Schilling,5,2,Featherweight
Dustin Poirier,24,5,Lightweight
Eddie Rincon,3,8,Lightweight
Harris Sarmiento,36,26,Featherweight
Bryson Kamaka,12,21,Middleweight
Duke Saragosa,4,5,Lightweight
Cory Rosa,0,0,Lightweight
Eddie Alvarez,29,7,Lightweight
Justin Gaethje,20,2,Lightweight
Anthony Pettis,22,8,Lightweight
Jim Miller,29,13,Lightweight
Michael Johnson,19,14,Featherweight
Bobby Green,24,9,Lightweight
Joseph Duffy,16,4,Lightweight
Yancy Medeiros,15,6,Welterweight
Carlos Diego Ferreira,15,2,Lightweight
Conor McGregor,21,4,Lightweight
Akira Corassani,12,6,Featherweight
Diego Brandao,24,13,Featherweight
Erik Koch,15,6,Lightweight
Cub Swanson,25,10,Featherweight
Jonathan Brookins,16,10,Featherweight
Chan Sung Jung,14,5,Featherweight
Max Holloway,20,3,Featherweight
Pablo Garza,12,4,Featherweight
Jason Young,9,6,Featherweight
Josh Grispi,14,5,Featherweight
Zachary Micklewright,15,3,Lightweight
Danny Castillo,17,10,Lightweight
Derek Gauthier,8,8,Lightweight
Derrick Krantz,22,10,Welterweight
Ronnie Lis,1,1,N/A
Daniel Watts,3,10,Welterweight
Joe Torrez,1,5,Lightweight
Nate Jolly,14,7,Lightweight
Aaron Suarez,1,2,N/A
Gilbert Jimenez,8,12,Lightweight
Kelvin Gastelum,15,3,Middleweight
Israel Adesanya,16,0,Middleweight
Ronaldo Souza,26,6,Middleweight
Michael Bisping,30,9,Middleweight
Chris Weidman,14,4,Middleweight
Vitor Belfort,26,14,Middleweight
Tim Kennedy,18,6,Middleweight
Johny Hendricks,18,8,Middleweight
Neil Magny,21,7,Welterweight
Nate Marquardt,35,19,Middleweight
Tyron Woodley,19,4,Welterweight
Jake Ellenberger,31,15,Welterweight
Nicholas Musoke,14,5,Welterweight
Rick Story,21,10,Welterweight
Brian Melancon,7,3,Welterweight
Uriah Hall,14,9,Middleweight
Mike Ashford,3,5,Middleweight
Bill Smallwood,4,7,Middleweight
Mike Gentile,0,1,Middleweight
Yair Moguel,3,5,N/A
Jose Sanchez,0,1,N/A
Josh Samman,12,4,Middleweight
Collin Hart,6,3,Middleweight
Bubba McDaniel,30,10,Light Heavyweight
Kito Andrews,9,5,Middleweight
Anderson Silva,34,9,Middleweight
Derek Brunson,18,7,Middleweight
Brad Tavares,17,5,Middleweight
Marvin Vettori,12,4,Middleweight
Rob Wilkinson,11,2,Middleweight
Stuart Dare,8,6,Middleweight
Melvin Guillard,32,21,Welterweight
Murad Kuramagomedov,9,2,Middleweight
Andrew Flores Smith,17,11,Light Heavyweight
Dibir Zagirov,15,5,Middleweight
Vladimir Katykhin,41,10,Welterweight
Gele Qing,12,9,Welterweight
Maui Tuigamala,4,3,Middleweight
Kenan Song,13,4,Welterweight
John Vake,10,5,Middleweight
James Griffiths,0,4,Middleweight
Neroni Savaiinaea,0,0,Middleweight
Eryk Anders,11,3,Middleweight
Khalil Rountree,7,3,Light Heavyweight
Elias Theodorou,16,2,Middleweight
Thiago Santos,21,6,Middleweight
Tim Williams,15,5,Middleweight
Lyoto Machida,25,8,Middleweight
Markus Perez,11,2,Middleweight
Rafael Natal,21,9,Middleweight
Brendan Allen,11,3,Middleweight
Jon Kirk,19,14,Middleweight
Brian White,5,5,Welterweight
Jesse Grun,1,3,Middleweight
Dekaire Sanders,0,3,Middleweight
Garrick James,2,2,Light Heavyweight
DeMarcus Sharpe,0,1,Middleweight
Josh Rasberry,1,1,Light Heavyweight
Gene Williams,0,0,Light Heavyweight
Josh Senkbeil,0,0,Middleweight
Paul Rainey,0,0,Middleweight
Josh Vaughn,0,0,Light Heavyweight
Jake Reeves,0,1,N/A
Johnny Walker,17,3,Light Heavyweight
Gokhan Saki,1,2,Light Heavyweight
Michal Oleksiejczuk,13,2,Light Heavyweight
Paul Craig,11,3,Light Heavyweight
Daniel Jolly,6,4,Light Heavyweight
Tyson Pedro,7,3,Light Heavyweight
Andrew Sanchez,10,4,Middleweight
Justin Polendey,7,3,Middleweight
Cameron Olson,8,5,Light Heavyweight
Blake Troop,8,5,Light Heavyweight
Livingston Lukow,1,1,Light Heavyweight
Josh Stansbury,8,5,Light Heavyweight
Cory Hendricks,5,2,Light Heavyweight
Dylan Jahrling,0,1,Middleweight
Lee Cordova,0,0,Welterweight
Prentice Williams,0,0,Light Heavyweight
Giovani Zavala,0,0,Light Heavyweight
Niels Berlemann,0,0,N/A
Travis Jelmyer,0,0,Light Heavyweight
Alan Jouban,16,6,Welterweight
Dwight Grant,9,2,Welterweight
