Fight: 1
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Alexander Volkov,30,7,0.81,520,235,2.21,0.69,0.12
Alistair Overeem,44,17,0.72,921,507,1.82,0.64,0.08

Fight: 2
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Marcin Tybura,17,4,0.81,315,143,2.20,0.69,0.12
Shamil Abdurakhimov,19,4,0.83,370,239,1.55,0.61,0.22

Fight: 3
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Sergei Pavlovich,12,1,0.92,174,101,1.72,0.63,0.29
Marcelo Golm,6,2,0.75,32,20,1.60,0.62,0.13

Fight: 4
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Krzysztof Jotko,19,4,0.83,270,124,2.18,0.69,0.14
Roman Kopylov,8,0,1.00,105,74,1.42,0.59,0.41

Fight: 5
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Roxanne Modafferi,22,15,0.59,342,203,1.68,0.63,-0.03
Antonina Shevchenko,7,0,1.00,19,16,1.19,0.54,0.46

Fight: 6
Name, Wins, Losses, Win Rate, Opp. Wins, Opp. Losses, Opp. Win Ratio, Opp. Win Rate, Win Diff.
Alexander Yakovlev,23,8,0.74,329,166,1.98,0.66,0.08
Teemu Packalen,8,2,0.80,122,79,1.54,0.61,0.19


Evaluation Results
Runtime(s), Time Per URL(s), Total Records 
239.47,0.85,281
