Name, Wins, Losses, Weightclass
Rafael dos Anjos,28,11,Welterweight
Kevin Lee,17,4,Lightweight
Kamaru Usman,15,1,Welterweight
Colby Covington,14,1,Welterweight
Robbie Lawler,28,13,Welterweight
Neil Magny,21,7,Welterweight
Tarec Saffiedine,16,7,Welterweight
Tony Ferguson,24,3,Lightweight
Eddie Alvarez,29,7,Lightweight
Donald Cerrone,35,11,Welterweight
Anthony Pettis,22,8,Lightweight
Nate Diaz,19,11,Lightweight
Benson Henderson,26,8,Lightweight
Jason High,21,8,Lightweight
Khabib Nurmagomedov,27,0,Lightweight
Evan Dunham,18,8,Lightweight
Mark Bocek,12,5,Lightweight
Anthony Njokuani,16,12,Lightweight
Kamal Shalorus,9,5,Lightweight
Gleison Tibau,34,14,Lightweight
George Sotiropoulos,14,7,Lightweight
Clay Guida,34,18,Lightweight
Terry Etim,16,5,Lightweight
Kyle Bradley,19,12,Welterweight
Robert Emerson,19,14,Bantamweight
Tyson Griffin,17,8,Lightweight
Jeremy Stephens,28,16,Featherweight
Takafumi Otsuka,24,15,Bantamweight
Takaichi Hirayama,8,11,Welterweight
Gabriel Miglioli,9,9,Lightweight
Danilo Cherman,9,4,Welterweight
Mauricio Reis,18,10,Lightweight
Thiago Meller,20,8,Lightweight
Johil de Oliveira,17,16,Lightweight
Mateus Trindade,2,1,N/A
Diogo Oliveira,0,2,Lightweight
Jorge Britto,12,9,Lightweight
Felipe Arinelli,15,12,Welterweight
Joao Paulo Almeida Alves,9,11,Welterweight
Adriano Abu,2,0,N/A
Al Iaquinta,14,4,Lightweight
Edson Barboza,20,7,Lightweight
Tony Ferguson,24,3,Lightweight
Michael Chiesa,15,4,Lightweight
Francisco Trinaldo,23,6,Lightweight
Magomed Mustafaev,13,2,Lightweight
Jake Matthews,14,4,Welterweight
Efrain Escudero,30,15,Lightweight
Leonardo Santos,16,3,Lightweight
James Moontasri,9,5,Welterweight
Michel Prazeres,26,3,Welterweight
Jon Tuck,10,5,Lightweight
Jesse Ronson,20,8,Welterweight
Eric Moon,13,15,Welterweight
Travis Gervais,4,3,Welterweight
Joseph Lile,5,3,Lightweight
Kyle Prepolec,12,5,Lightweight
J.P. Reese,11,10,N/A
Mansour Barnaoui,17,4,Lightweight
Levis Labrie,2,1,Lightweight
Tom Stalteri,0,0,N/A
Elizeu Zaleski dos Santos,21,5,Welterweight
Neil Magny,21,7,Welterweight
Curtis Millender,17,4,Welterweight
Luigi Vendramini,8,1,Lightweight
Sean Strickland,20,3,Welterweight
Max Griffin,14,6,Welterweight
Lyman Good,20,5,Welterweight
Keita Nakamura,34,9,Welterweight
Omari Akhmedov,18,4,Welterweight
Nicolas Dalby,17,3,Welterweight
Eduardo Ramon,15,5,Welterweight
Itamar Rosa,10,5,Middleweight
Rodrigo Souza,11,4,Welterweight
Josenildo Ramalho,8,8,Middleweight
Guilherme Vasconcelos,10,5,Welterweight
Ricardo Silva,0,3,Welterweight
Gilmar Dutra Lima,28,16,Lightweight
Franklin Jensen,18,5,Welterweight
Misael Chamorro,6,5,Welterweight
Viscardi Andrade,20,7,Welterweight
Jose de Ribamar Machado Gomes,38,14,Welterweight
Jackson Pontes,5,11,Lightweight
Joao Paulo Prado,3,4,Lightweight
Dyego Roberto,15,12,Middleweight
Christian Tide Squeti,18,8,Welterweight
Wellington Bruno Morgenstern,0,9,Welterweight
Douglas Jandozo,3,6,Middleweight
Santiago Ponzinibbio,27,3,Welterweight
Craig White,14,10,Welterweight
Carlos Condit,30,13,Welterweight
Rafael dos Anjos,28,11,Welterweight
Johny Hendricks,18,8,Middleweight
Lorenz Larkin,20,7,Welterweight
Hector Lombard,34,10,Middleweight
Kelvin Gastelum,15,3,Middleweight
Erick Silva,20,10,Welterweight
Demian Maia,26,9,Welterweight
Hyun Gyu Lim,13,7,Welterweight
Kiichi Kunimoto,20,7,Welterweight
William Macario,9,4,Welterweight
Alex Garcia,15,6,Welterweight
Rodrigo Goiana de Lima,9,3,Welterweight
Tim Means,28,11,Welterweight
Gasan Umalatov,18,5,Middleweight
Seth Baczynski,21,14,Middleweight
Sergio Moraes,14,4,Welterweight
Jon Manley,9,5,Welterweight
Daniel Sandmann,6,7,Light Heavyweight
Andrew Trace,7,2,Welterweight
Quartius Stitt,9,9,Welterweight
Kevin Nowaczyk,19,4,Middleweight
Darion Terry,3,2,Welterweight
Lawrence Dunning,5,4,Welterweight
Nate Pratt,1,1,N/A
Nolan Norwood,9,4,Welterweight
Mike Ricci,11,5,Lightweight
Bristol Marunde,16,10,Welterweight
Cameron Diffley,4,0,Welterweight
Frank Camacho,21,7,Welterweight
Megan Anderson,9,3,Featherweight
Felicia Spencer,6,0,Featherweight
Cat Zingano,10,4,Bantamweight
Holly Holm,12,4,Featherweight
Charmaine Tweet,9,6,Featherweight
Peggy Morgan,4,4,Featherweight
Amanda Bell,6,5,Featherweight
Amber Leibrock,3,3,Featherweight
Cindy Dandois,13,5,Bantamweight
Zoie Shreiweis,1,3,Featherweight
Jodie Struzik,0,1,Featherweight
Kerry Barrett,1,2,Featherweight
Janay Harding,5,4,Bantamweight
Pam Sorenson,7,3,Featherweight
Helena Kolesnyk,5,2,Featherweight
Akeela Al-Hameed,0,1,Featherweight
Amy Coleman,2,2,Lightweight
Madison McElhaney,1,1,Featherweight
Rachel Wiley,0,1,Lightweight
Jessica Eve Richer,0,1,Lightweight
Leanne Foster,0,0,Featherweight
Macy Chiasson,4,0,Featherweight
Calli Paquette,0,0,Lightweight
